URL,Segment,SEO Score,Load Time Performance Score,Mobile Usability Score,PageSpeed Insights Performance Score,PWA Features Score,Total Score
https://girandosol.com.br,blog para casa,1,0.34,0,0,0.29,1.63
https://higihouse.com.br,blog para casa,1,0.45,0,0,0.29,1.74
https://www.copagaz.com.br,blog para casa,1,0.48,0,0,0.29,1.77
https://www.casadevalentina.com.br,blog para casa,1,0.52,0,0,0.29,1.81
https://maxbio.com.br,blog para casa,1,0.65,0,0,0.29,1.94
https://www.moyo.pt,blog para casa,1,0.68,0,0,0.29,1.97
https://repositorio.utfpr.edu.br,blog para casa,1,0.7,0,0,0.29,1.99
https://blogclubedamesaposta.wordpress.com,blog para casa,1,0.73,0,0,0.29,2.02
https://www.creditoreal.com.br,blog para casa,1,0.78,0,0,0.29,2.07
https://giselapersonalorganizer.com.br,blog para casa,1,0.5,0.28,0,0.29,2.07
https://storageguardatudo.com.br,blog para casa,1,0.67,0.14,0,0.29,2.1
https://www.designinteriores.com.br,blog para casa,1,0.86,0,0,0.29,2.15
https://blog.dona.com.br,blog para casa,1,0.89,0,0,0.29,2.18
https://blog.persianet.com.br,blog para casa,1,0.66,0.3,0,0.29,2.25
https://planner5d.com,blog para casa,1,0.4,0.25,0.46,0.29,2.4
https://uauingleza.com.br,blog para casa,1,0.5,0.33,0.5,0.29,2.62
https://www.interlagos.com.br,blog para casa,1,0.59,0.17,0.59,0.29,2.64
https://www.astra-sa.com,blog para casa,1,0.49,0.45,0.49,0.29,2.72
https://www.durafloor.com.br,blog para casa,1,0.72,0.16,0.64,0.29,2.81
http://blog.socolmeias.com.br,blog para casa,1,0.53,0.46,0.53,0.29,2.81
https://lilianazenaro.com.br,blog para casa,1,0.64,0.29,0.64,0.29,2.86
https://joanaathome.com,blog para casa,1,0.64,0.34,0.59,0.29,2.86
https://artex.com.br,blog para casa,1,0.42,0.21,0.42,0.86,2.91
https://blogdadg.com,blog para casa,1,0.81,0,0.81,0.29,2.91
https://leiturinha.com.br,blog para casa,1,0.67,0.29,0.67,0.29,2.92
https://kalinkacarvalho.com.br,blog para casa,1,0.52,0.19,0.52,0.71,2.94
https://blog.lojasincor.com.br,blog para casa,1,0.75,0.32,0.6,0.29,2.96
https://roorganiza.com.br,blog para casa,1,0.76,0.33,0.76,0.29,3.14
https://www.camilacruzorganizer.com.br,blog para casa,1,0.78,0.36,0.78,0.29,3.21
https://foccolojas.com.br,blog para casa,1,0.78,0.55,0.75,0.29,3.37
https://benfattoorganiza.com.br,blog para casa,1,0.88,0.48,0.88,0.29,3.53
https://blog.madesa.com,blog para casa,1,0.73,0.66,0.89,0.29,3.57
https://www.vivadecora.com.br,blog para casa,1,0.67,0.33,0.67,1,3.67
https://www.organizabox.com.br,blog para casa,1,0.91,0.57,0.96,0.29,3.73
https://housfy.pt,blog para casa,1,0.82,0.84,0.82,0.29,3.77
https://blog.horlle.com.br,blog para casa,1,0.82,0.6,0.88,0.71,4.01
https://www.theminiadhdcoach-brasil.com,blog para casa,1,0.88,0.89,0.98,0.29,4.04
https://blog.archtrends.com,blog para casa,1,0.99,0.87,0.99,0.29,4.14
https://helporganizacao.com.br,blog para casa,1,0.98,0.97,0.98,0.29,4.22
